name1,name2,type,score,admin,links,unlinks
twin room,economy double room - non-refundable - breakfast included in the price,match,-6,0,0,6
twin room,queen room - free cancellation - breakfast included in the price,match,-6,0,0,6
twin room,standard room 1 queen bed queenbed,match,-6,0,0,6
twin room,double sea,match,-6,0,0,6
double sea,twin room,match,-6,0,0,6
twin room,double room - room only. standard-room only-standard rate,match,-6,0,0,6
double with double bed double,twin room,match,-6,0,0,6
double room 1 queen bed,twin room,match,-6,0,0,6
"room, 2 double or 2 queen beds",twin room,match,-6,0,0,6
twin superior : room only non refundable,twin room,match,-6,0,0,6
double room (1 adult + 1 child),twin room,match,-6,0,0,6
twin room,duplex room,match,-6,0,0,6
queen accessible guest rm (double),queen guest room (double),match,-6,0,0,6
"deluxe room, 1 king bed, non smoking, 1 king bed","luxury room, 1 king bed, non smoking, 1 king bed",match,-6,0,0,6
"royal suite with complimentary breakfast, signature afternoon tea, evening sundowners, soft refreshments and canapes",deluxe room,match,-6,0,0,6
double standard,1 double bed mobility accessible room non-smoking,match,-6,0,0,6
executive room + free wifi,double superior room + free wifi,match,-6,0,0,6
single superior : breakfast includedcontinental non refundable,single superior non refundable : breakfast includedcontinental non refundable,match,-6,0,0,6
single superior non refundable : breakfast includedcontinental non refundable,comfort room  1 king bed : free breakfast,match,-6,0,0,6
comfort room  1 king bed : free breakfast,comfort room 1 king bed : room only,match,-6,0,0,6
comfort room 1 king bed : room only,bardna - superior,match,-6,0,0,6
comfort room kingbed,comfort room 1 king bed : room only,match,-6,0,0,6
comfort room : room only,comfort room  1 king bed : free breakfast,match,-6,0,0,6
comfort double room -  : room only,single comfort non refundable : breakfast includedcontinental non refundable,match,-6,0,0,6
comfort double room -  : room only,double room - single use - comfort : breakfast includedcontinental non refundable,match,-6,0,0,6
queen luxury,"deluxe dos camas, 2 double beds",match,-6,0,0,6
non-smoking premium flamingo room with one king bed,"go suite, 1 king bed, non smoking",match,-6,0,0,6
double colonial bb,suite modern ro,match,-6,0,0,6
"duplex penthouse, 1 bedroom, balcony, ocean view, jetted tub","deluxe suite, 1 king bed with sofa bed, jetted tub, ocean view",match,-6,0,0,6
single superior : breakfast includedcontinental non refundable,comfort room : breakfast for one,match,-6,0,0,6
comfort room : breakfast for one,double room - single use - comfort : breakfast includedcontinental non refundable,match,-6,0,0,6
double (flamingo room 2 queen beds strip view),double (go room 2 queen beds strip view),match,-6,0,0,6
double (go room 2 queen beds strip view),double city view two queen beds,match,-6,0,0,6
single superior nrf : breakfast includedcontinental non refundable,comfort room (1 king bed) : bed and breakfast non refundable,match,-6,0,0,6
single comfort : bed and breakfast non refundable,single superior nrf : breakfast includedcontinental non refundable,match,-6,0,0,6
single comfort : breakfast includedcontinental,single superior : breakfast includedcontinental,match,-6,0,0,6
single : breakfast includedcontinental non refundable,comfort room (1 king bed) : bed and breakfast,match,-6,0,0,6
comfort room () : room only,single : breakfast includedcontinental non refundable,match,-6,0,0,6
single comfort : breakfast includedcontinental,single : breakfast includedcontinental non refundable,match,-6,0,0,6
double room - single use - superior : breakfast includedcontinental non refundable,double comfort : breakfast includedcontinental non refundable,match,-6,0,0,6
double room - single use - superior : breakfast includedcontinental non refundable,comfort room kingbed,match,-6,0,0,6
comfort double room -  : room only,double room - single use - superior : breakfast includedcontinental non refundable,match,-6,0,0,6
double room - single use - superior : breakfast includedcontinental non refundable,single superior : bed and breakfast,match,-6,0,0,6
single comfort : breakfast includedcontinental non refundable,comfort room 1 king bed- non refundable : room only non refundable,match,-6,0,0,6
double comfort : breakfast includedcontinental non refundable,comfort room 1 king bed- non refundable : room only non refundable,match,-6,0,0,6
bardna - superior : room only,single superior nrf : breakfast includedcontinental non refundable,match,-6,0,0,6
bardna - superior : room only,single standard non refundable : breakfast includedcontinental non refundable,match,-6,0,0,6
single standard : breakfast includedcontinental,single comfort nrf : breakfast includedcontinental non refundable,match,-6,0,0,6
bardna - superior,single standard : breakfast includedcontinental,match,-6,0,0,6
double comfort : breakfast includedcontinental non refundable,single comfort nrf : breakfast includedcontinental non refundable,match,-6,0,0,6
bardna - superior : room only,single comfort nrf : breakfast includedcontinental non refundable,match,-6,0,0,6
comfort room  1 king bed : breakfast buffet non refundable,single comfort : breakfast includedcontinental,match,-6,0,0,6
single superior : room only non refundable,single comfort : breakfast includedcontinental,match,-6,0,0,6
single comfort nrf : breakfast includedcontinental non refundable,single comfort : breakfast includedcontinental,match,-6,0,0,6
plus standard - non refunduble,single comfort non refundable : breakfast includedcontinental non refundable,match,-6,0,0,6
bardna - comfort,comfort room 1 king bed- non refundable : buffet breakfast non refundable,match,-6,0,0,6
bardna - comfort : room only,single superior non refundable : breakfast includedcontinental non refundable,match,-6,0,0,6
comfort room 1 king bed- non refundable : buffet breakfast non refundable,comfort room (1 king bed) : bed and breakfast non refundable,match,-6,0,0,6
comfort room  1 king bed : free breakfast,comfort room (1 king bed) : bed and breakfast non refundable,match,-6,0,0,6
habitación doble (l),studio with balcony,match,-6,0,0,6
medium urban twin,medium jungle,match,-6,0,0,6
double or twin executive,executive single room non-refundable,match,-6,0,0,6
triple deluxe sea view non refundable,deluxe double room with two double beds - sea view  - single occupancy,match,-6,0,0,6
standard double room 1 king bed non refundable,standard double room 1 king bed,match,-6,0,0,6
estandar ( no breakfast ),swim up room,match,-6,0,0,6
classic sgl,classic only bed dus,match,-6,0,0,6
superior room with aircondition (1 queenbed) - package rate,junior suite ( none ),match,-6,0,0,6
premium room with aircondition (2 twinbed),junior suite with aircondition (2 twinbed),match,-6,0,0,6
junior suite ( none ),premium room with aircondition (2 twinbed),match,-6,0,0,6
